anio,semana,dia,contaminante,max,avg
2013,1,6,ozono,91,25.1416666666666667
2016,1,4,pm10,93,49.6833333333333333
2013,1,4,pm10,61,39.2166666666666667
2013,1,1,pm10,67,37.7500000000000000
2014,1,3,pm10,121,88.8958333333333333
2015,1,5,pm10,125,78.2666666666666667
2013,1,6,pm10,96,67.0500000000000000
2014,1,6,pm10,83,50.1333333333333333
2014,1,1,pm10,107,76.5250000000000000
2014,1,2,pm10,112,96.1916666666666667
2014,1,5,pm10,57,32.7916666666666667
2014,1,0,pm10,80,52.4583333333333333
2016,1,5,pm10,93,51.3750000000000000
2013,1,3,pm10,162,51.6833333333333333
2016,1,2,pm10,104,74.5750000000000000
2013,1,0,pm10,83,55.2083333333333333
2015,1,6,pm10,101,50.5000000000000000
2015,1,0,pm10,90,54.9583333333333333
2016,1,6,pm10,106,63.3750000000000000
2013,1,2,pm10,170,65.4916666666666667
2014,1,4,pm10,83,58.0583333333333333
2016,1,3,pm10,99,53.9750000000000000
2015,1,4,pm10,138,124.5833333333333333
2016,1,1,pm10,104,78.2750000000000000
2013,1,5,pm10,93,58.4833333333333333
2016,1,0,pm10,102,55.0583333333333333
2014,10,2,dioxido_de_azufre,6,4.0416666666666667
2014,10,3,dioxido_de_azufre,4,2.0916666666666667
2015,10,2,dioxido_de_azufre,20,8.6083333333333333
2016,10,0,dioxido_de_azufre,5,2.4000000000000000
2015,10,6,dioxido_de_azufre,18,10.7833333333333333
2013,10,3,dioxido_de_azufre,12,4.5500000000000000
2013,10,4,dioxido_de_azufre,52,25.3666666666666667
2016,10,6,dioxido_de_azufre,3,1.7583333333333333
2014,10,0,dioxido_de_azufre,2,1.5083333333333333
2016,10,2,dioxido_de_azufre,2,1.6083333333333333
2015,10,3,dioxido_de_azufre,15,3.9833333333333333
2015,10,5,dioxido_de_azufre,16,5.4166666666666667
2016,10,4,dioxido_de_azufre,2,1.2833333333333333
2014,10,1,dioxido_de_azufre,5,3.1916666666666667
2014,10,4,dioxido_de_azufre,6,2.7083333333333333
2016,10,1,dioxido_de_azufre,5,2.3833333333333333
2013,10,2,dioxido_de_azufre,8,5.2000000000000000
2013,10,6,dioxido_de_azufre,8,4.8333333333333333
2014,10,6,dioxido_de_azufre,6,2.3750000000000000
2015,10,4,dioxido_de_azufre,5,2.9833333333333333
2016,10,5,dioxido_de_azufre,2,1.1416666666666667
2015,10,0,dioxido_de_azufre,15,7.9250000000000000
2014,10,5,dioxido_de_azufre,10,3.9000000000000000
2013,10,1,dioxido_de_azufre,10,5.0666666666666667
2013,10,5,dioxido_de_azufre,32,7.9250000000000000
2015,10,1,dioxido_de_azufre,8,4.1333333333333333
2016,10,3,dioxido_de_azufre,2,1.6000000000000000
2013,10,0,dioxido_de_azufre,6,2.8833333333333333
2014,10,6,dioxido_de_nitrogeno,31,12.2666666666666667
2016,10,3,dioxido_de_nitrogeno,13,6.7416666666666667
2015,10,1,dioxido_de_nitrogeno,42,18.5000000000000000
2013,10,6,dioxido_de_nitrogeno,54,18.1833333333333333
2014,10,5,dioxido_de_nitrogeno,39,16.2833333333333333
2015,10,4,dioxido_de_nitrogeno,27,13.9833333333333333
2015,10,5,dioxido_de_nitrogeno,29,15.0416666666666667
2014,10,2,dioxido_de_nitrogeno,27,14.8833333333333333
2016,10,1,dioxido_de_nitrogeno,28,14.1833333333333333
2014,10,4,dioxido_de_nitrogeno,33,18.4083333333333333
2016,10,5,dioxido_de_nitrogeno,26,10.8666666666666667
2015,10,6,dioxido_de_nitrogeno,32,14.7500000000000000
2014,10,0,dioxido_de_nitrogeno,22,10.1916666666666667
2015,10,2,dioxido_de_nitrogeno,42,19.7416666666666667
2016,10,0,dioxido_de_nitrogeno,43,21.8583333333333333
2013,10,5,dioxido_de_nitrogeno,50,22.2166666666666667
2013,10,2,dioxido_de_nitrogeno,91,25.6416666666666667
2016,10,4,dioxido_de_nitrogeno,17,6.4166666666666667
2013,10,1,dioxido_de_nitrogeno,55,26.1583333333333333
2013,10,3,dioxido_de_nitrogeno,43,19.7666666666666667
2016,10,2,dioxido_de_nitrogeno,21,9.2250000000000000
2014,10,3,dioxido_de_nitrogeno,27,13.1916666666666667
2015,10,0,dioxido_de_nitrogeno,22,11.2833333333333333
2014,10,1,dioxido_de_nitrogeno,48,20.1416666666666667
2013,10,4,dioxido_de_nitrogeno,53,22.4500000000000000
2016,10,6,dioxido_de_nitrogeno,37,20.6333333333333333
2015,10,3,dioxido_de_nitrogeno,47,21.3750000000000000
2013,10,0,dioxido_de_nitrogeno,25,12.5666666666666667
2013,10,0,monoxido_de_carbono,21,9.3333333333333333
2016,10,6,monoxido_de_carbono,15,8.6583333333333333
2014,10,4,monoxido_de_carbono,19,9.1500000000000000
2013,10,5,monoxido_de_carbono,24,12.1666666666666667
2014,10,3,monoxido_de_carbono,16,8.6166666666666667
2015,10,3,monoxido_de_carbono,20,10.3333333333333333
2014,10,5,monoxido_de_carbono,23,9.1250000000000000
2013,10,6,monoxido_de_carbono,18,10.3916666666666667
2013,10,2,monoxido_de_carbono,34,15.4666666666666667
2016,10,5,monoxido_de_carbono,13,4.4166666666666667
2014,10,6,monoxido_de_carbono,16,8.7916666666666667
2016,10,0,monoxido_de_carbono,18,9.8500000000000000
2015,10,1,monoxido_de_carbono,18,8.9916666666666667
2016,10,2,monoxido_de_carbono,9,5.2666666666666667
2013,10,4,monoxido_de_carbono,24,11.3000000000000000
2016,10,3,monoxido_de_carbono,8,4.6916666666666667
2013,10,3,monoxido_de_carbono,16,8.9333333333333333
2016,10,1,monoxido_de_carbono,15,7.0333333333333333
2014,10,1,monoxido_de_carbono,20,10.5416666666666667
2014,10,0,monoxido_de_carbono,13,5.9916666666666667
2013,10,1,monoxido_de_carbono,25,14.0416666666666667
2015,10,6,monoxido_de_carbono,17,8.5666666666666667
2014,10,2,monoxido_de_carbono,15,7.4666666666666667
2015,10,2,monoxido_de_carbono,18,9.9500000000000000
2015,10,4,monoxido_de_carbono,14,8.1083333333333333
2015,10,0,monoxido_de_carbono,11,6.9583333333333333
2015,10,5,monoxido_de_carbono,13,7.3083333333333333
2016,10,4,monoxido_de_carbono,5,3.7666666666666667
2016,10,3,ozono,35,20.5250000000000000
2013,10,2,ozono,90,43.9083333333333333
2015,10,4,ozono,88,25.2916666666666667
2013,10,1,ozono,98,42.7833333333333333
2014,10,6,ozono,83,26.8333333333333333
2015,10,2,ozono,156,44.6166666666666667
2015,10,1,ozono,121,38.5916666666666667
2014,10,1,ozono,109,38.8166666666666667
2015,10,3,ozono,146,50.4333333333333333
2014,10,3,ozono,64,28.4250000000000000
2016,10,0,ozono,177,62.0583333333333333
2014,10,0,ozono,51,18.3750000000000000
2016,10,6,ozono,159,50.4750000000000000
2013,10,4,ozono,102,35.9666666666666667
2015,10,0,ozono,108,30.5833333333333333
2016,10,1,ozono,61,32.4333333333333333
2013,10,5,ozono,124,41.8750000000000000
2014,10,5,ozono,81,29.0666666666666667
2016,10,4,ozono,48,36.0083333333333333
2013,10,6,ozono,98,34.7166666666666667
2013,10,3,ozono,113,43.3500000000000000
