dia_semana,cuarto,parte_dia,contaminante,max,min,avg,stddev
1,4,21,dioxido_de_azufre,105,1,14.2825396825396825,11.8228471191734547
1,4,22,dioxido_de_azufre,109,1,12.0995780590717300,11.3102832974139703
1,4,23,dioxido_de_azufre,114,1,12.1029535864978903,11.2134330512999390
2,1,0,dioxido_de_azufre,158,1,11.4156414762741652,12.3679445504323879
2,1,1,dioxido_de_azufre,154,1,11.5395430579964851,12.3924651747246622
2,1,2,dioxido_de_azufre,156,1,11.6309314586994728,12.4701575596533775
2,1,3,dioxido_de_azufre,153,1,11.7021089630931459,12.4940800383904517
2,1,4,dioxido_de_azufre,150,1,11.7144112478031634,12.4776734173435622
2,1,5,dioxido_de_azufre,146,1,11.8197009674582234,12.4964797401674811
2,1,6,dioxido_de_azufre,141,1,11.8655536028119508,12.4862080359914110
2,1,7,dioxido_de_azufre,138,1,13.9711096520026264,12.3960256237464378
2,1,8,dioxido_de_azufre,137,1,13.9908136482939633,12.3305819439930992
2,1,9,dioxido_de_azufre,131,1,14.0911475409836066,12.3341046743564307
2,1,10,dioxido_de_azufre,123,1,14.1578947368421053,12.3673236680020240
2,1,11,dioxido_de_azufre,120,1,14.2210526315789474,12.4190526162020790
2,1,12,dioxido_de_azufre,118,1,14.2690789473684211,12.4561891020369981
2,1,13,dioxido_de_azufre,116,1,14.2822368421052632,12.4824015787678177
2,1,14,dioxido_de_azufre,114,1,14.2738643844634628,12.3529578695356946
2,1,15,dioxido_de_azufre,112,1,14.2514812376563529,12.3021344744163818
2,1,16,dioxido_de_azufre,111,1,14.4360655737704918,12.6949629478650218
2,1,17,dioxido_de_azufre,108,1,14.3718032786885246,12.5400719255625965
2,1,18,dioxido_de_azufre,106,1,14.4288524590163934,12.6845828490726895
2,1,19,dioxido_de_azufre,105,1,14.4426229508196721,12.6958729501365264
2,1,20,dioxido_de_azufre,103,1,14.4268852459016393,12.5845460394475528
2,1,21,dioxido_de_azufre,101,1,14.3667979002624672,12.2809088524207511
2,1,22,dioxido_de_azufre,102,1,11.9938325991189427,11.9233648185523057
2,1,23,dioxido_de_azufre,100,1,12.0158590308370044,11.7540834788630777
2,2,0,dioxido_de_azufre,67,1,8.4427272727272727,8.1842628354856143
2,2,1,dioxido_de_azufre,67,1,8.4854545454545455,8.0907482224804065
2,2,2,dioxido_de_azufre,68,1,8.5572727272727273,8.0231348731127635
2,2,3,dioxido_de_azufre,69,1,8.5736363636363636,7.9088894742366928
2,2,4,dioxido_de_azufre,70,1,8.6027272727272727,7.7690381862013637
2,2,5,dioxido_de_azufre,71,1,8.6563636363636364,7.6349911319905056
2,2,6,dioxido_de_azufre,71,1,8.6494096276112625,7.5106392486838869
2,2,7,dioxido_de_azufre,74,1,12.4813409234661607,10.4817110026254009
2,2,8,dioxido_de_azufre,80,1,12.7781289506953224,11.1293107621400885
2,2,9,dioxido_de_azufre,72,1,13.0480404551201011,11.7920616992070958
2,2,10,dioxido_de_azufre,70,1,13.0467466835123184,11.5732848990083940
2,2,11,dioxido_de_azufre,68,1,12.9154040404040404,11.3102088328068426
2,2,12,dioxido_de_azufre,69,1,12.7203282828282828,10.8637430517728022
2,2,13,dioxido_de_azufre,75,1,12.5858585858585859,10.5756106031168512
2,2,14,dioxido_de_azufre,71,1,12.4545454545454545,10.1629405937216019
2,2,15,dioxido_de_azufre,70,1,12.2757306226175349,9.9038714973282334
2,2,16,dioxido_de_azufre,71,1,12.3958333333333333,10.0214177620152060
2,2,17,dioxido_de_azufre,74,1,12.4564393939393939,10.1721441663675632
2,2,18,dioxido_de_azufre,74,1,12.3825757575757576,10.0283917576571970
2,2,19,dioxido_de_azufre,74,1,12.4450757575757576,10.1317667963182668
2,2,20,dioxido_de_azufre,77,1,12.4880050505050505,10.3670408082842742
2,2,21,dioxido_de_azufre,80,1,12.4747474747474747,10.2492928403115866
2,2,22,dioxido_de_azufre,82,1,8.8396739130434783,7.9673302946547867
2,2,23,dioxido_de_azufre,85,1,8.8632246376811594,7.9824346440822359
2,3,0,dioxido_de_azufre,72,1,7.5088607594936709,6.8628059525423791
2,3,1,dioxido_de_azufre,68,1,7.4827004219409283,6.7503688186682665
2,3,2,dioxido_de_azufre,64,1,7.4658227848101266,6.6192839838182737
2,3,3,dioxido_de_azufre,60,1,7.4354430379746835,6.4741763141181180
2,3,4,dioxido_de_azufre,55,1,7.3839662447257384,6.2835784045738768
2,3,5,dioxido_de_azufre,49,1,7.3610169491525424,6.1314555414306237
2,3,6,dioxido_de_azufre,48,1,7.3459915611814346,6.0619091701452347
2,3,7,dioxido_de_azufre,62,1,10.6260317460317460,9.7814339568961542
2,3,8,dioxido_de_azufre,66,1,10.6838095238095238,10.0914036518129050
2,3,9,dioxido_de_azufre,81,1,10.7487373737373737,10.3475302296690595
2,3,10,dioxido_de_azufre,80,1,10.7604828462515883,10.4065698242665098
2,3,11,dioxido_de_azufre,70,1,10.7770012706480305,10.2311096903758138
2,3,12,dioxido_de_azufre,113,1,10.8043202033036849,10.5903232414758297
2,3,13,dioxido_de_azufre,62,1,10.5711562897077510,9.6573702456075245
2,3,14,dioxido_de_azufre,63,1,10.5641677255400254,9.6735336386283129
